pokemon,dex_number,normal,fighting,flying,poison,ground,rock,bug,ghost,steel,fire,water,grass,electric,psychic,ice,dragon,dark,fairy
bulbasaur.png,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ivysaur.png,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
venusaur.png,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
venusaurmega.png,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
charmander.png,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
charmeleon.png,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
charizardmegay.png,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
charizard.png,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
charizardmegax.png,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
squirtle.png,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
wartortle.png,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
blastoise.png,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
blastoisemega.png,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
caterpie.png,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
metapod.png,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
butterfree.png,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
weedle.png,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
kakuna.png,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
beedrill.png,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
beedrillmega.png,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pidgey.png,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pidgeotto.png,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pidgeotmega.png,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pidgeot.png,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rattataalola.png,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
rattata.png,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raticate.png,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raticatealola.png,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
spearow.png,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fearow.png,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ekans.png,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arbok.png,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
