pokemon,dex_number,red0,blue0,green0,red1,blue1,green1,red2,blue2,green2,red3,blue3,green3,red4,blue4,green4,proportion0,proportion1,proportion2,proportion3,proportion4
bulbasaur.png,1,115,170,49,58,149,147,92,120,43,51,119,114,182,246,107,0.2735,0.1222,0.0337,0.0321,0.0263
ivysaur.png,2,66,129,33,212,66,90,50,116,149,98,164,45,24,47,22,0.1513,0.1072,0.0426,0.0318,0.029
venusaur.png,3,221,69,66,53,132,50,238,143,97,157,72,41,70,33,15,0.1304,0.1226,0.1165,0.057,0.0439
charmander.png,4,220,83,58,230,143,81,180,71,31,242,153,1,62,34,23,0.2228,0.1122,0.0759,0.0211,0.0206
charmeleon.png,5,207,41,80,245,82,71,175,75,45,200,158,113,221,62,82,0.2064,0.0729,0.0484,0.039,0.0319
charizard.png,6,205,82,64,156,73,51,222,133,63,57,26,20,118,44,27,0.3667,0.1015,0.0951,0.0404,0.0082
squirtle.png,7,169,98,12,96,172,157,71,113,101,181,152,124,74,42,16,0.2288,0.2037,0.0455,0.0325,0.0304
wartortle.png,8,187,207,224,98,106,193,141,95,85,146,154,195,82,86,132,0.1466,0.1234,0.0865,0.0686,0.0369
blastoise.png,9,37,97,164,44,30,16,156,151,139,112,94,77,121,149,188,0.1511,0.1458,0.0818,0.0705,0.0418
caterpie.png,10,57,177,59,50,124,71,189,175,122,104,96,76,117,187,87,0.2438,0.0893,0.071,0.0454,0.043
metapod.png,11,106,141,88,86,113,81,135,188,90,26,35,27,212,215,210,0.2145,0.0803,0.0626,0.0123,0.0054
butterfree.png,12,187,187,228,232,232,250,89,81,118,151,151,186,29,29,46,0.1226,0.1201,0.0998,0.0791,0.0592
weedle.png,13,201,112,16,54,36,18,238,171,68,90,90,98,222,90,82,0.2226,0.0596,0.0394,0.0101,0.0074
kakuna.png,14,217,164,85,157,110,15,190,138,35,242,208,75,55,41,17,0.2851,0.1511,0.0542,0.0374,0.0366
beedrill.png,15,227,216,244,220,150,50,173,159,181,221,214,224,82,86,108,0.1364,0.0827,0.0501,0.0416,0.0238
