pokemon,dex_number,red0,blue0,green0,red1,blue1,green1,red2,blue2,green2,red3,blue3,green3,red4,blue4,green4,proportion0,proportion1,proportion2,proportion3,proportion4
bulbasaur.png,1,99,252,90,55,120,51,97,204,91,16,36,15,28,23,22,0.2326,0.1151,0.0844,0.0765,0.0522
ivysaur.png,2,99,252,90,245,79,127,13,33,12,53,121,49,92,205,85,0.143,0.0783,0.0777,0.0762,0.0637
venusaur.png,3,70,203,93,235,59,114,13,38,17,45,123,58,57,175,77,0.2432,0.1179,0.1055,0.1052,0.0594
charmander.png,4,233,122,68,159,71,52,54,22,16,227,91,42,122,37,32,0.2467,0.1273,0.0696,0.0464,0.0258
charmeleon.png,5,142,25,54,59,12,24,238,66,52,160,56,68,116,87,84,0.1414,0.0894,0.0855,0.0534,0.0432
charizard.png,6,205,83,17,56,27,12,200,149,122,51,75,121,19,28,46,0.3133,0.1053,0.0729,0.0554,0.0384
squirtle.png,7,80,119,245,29,26,16,60,80,144,113,101,69,16,23,46,0.1933,0.0848,0.072,0.0667,0.0538
wartortle.png,8,80,111,239,34,31,24,106,98,78,167,161,145,173,142,66,0.1441,0.0687,0.0642,0.0629,0.0532
blastoise.png,9,69,91,244,18,16,9,189,159,29,14,18,47,108,101,72,0.1651,0.1147,0.0747,0.071,0.0618
caterpie.png,10,71,121,41,23,42,12,95,172,49,22,19,18,169,152,149,0.1013,0.0944,0.0941,0.0802,0.0674
metapod.png,11,69,107,8,27,39,9,121,252,0,90,116,55,160,167,150,0.0996,0.0639,0.0573,0.0475,0.0362
butterfree.png,12,185,220,250,8,8,8,133,165,192,79,101,119,25,33,40,0.1759,0.1497,0.0634,0.0615,0.0557
weedle.png,13,151,81,47,50,26,14,209,135,40,185,155,133,133,34,21,0.1188,0.0777,0.076,0.0641,0.0171
kakuna.png,14,132,102,62,35,28,15,213,205,25,183,163,37,168,162,152,0.1125,0.0796,0.0733,0.0676,0.0306
beedrill.png,15,209,152,105,33,18,13,131,83,65,144,28,13,220,86,65,0.1346,0.1208,0.0874,0.0232,0.018
pidgey.png,16,129,85,53,46,30,17,178,162,137,239,214,107,169,139,66,0.1719,0.1121,0.1035,0.0314,0.0121
pidgeotto.png,17,141,74,39,45,25,15,238,77,92,174,156,146,153,62,71,0.1806,0.0852,0.0753,0.0748,0.0434
pidgeot.png,18,130,81,54,44,28,20,166,156,151,239,79,94,147,61,69,0.1363,0.0839,0.0823,0.0675,0.0349
rattata.png,19,175,66,234,130,59,154,51,15,58,114,29,129,176,144,183,0.1229,0.0831,0.0718,0.0666,0.0403
raticate.png,20,216,177,95,130,94,38,41,30,13,179,135,53,102,67,13,0.2047,0.1684,0.123,0.0358,0.0259
spearow.png,21,135,85,40,42,26,12,233,79,94,169,159,151,52,19,22,0.1671,0.1212,0.0582,0.0582,0.0251
fearow.png,22,143,87,52,47,29,18,178,158,146,238,55,128,162,53,97,0.1984,0.1061,0.0683,0.0228,0.0176
ekans.png,23,158,62,157,56,16,44,145,18,77,185,141,170,97,97,97,0.325,0.0826,0.0777,0.0405,0.0399
arbok.png,24,250,250,250,46,19,43,108,37,84,14,13,13,182,142,176,0.3384,0.1681,0.0544,0.0521,0.0372
pikachu.png,25,238,213,44,140,91,47,185,163,118,37,26,13,191,156,30,0.2752,0.0901,0.0649,0.0634,0.0457
raichu.png,26,207,93,17,31,17,6,254,213,59,216,152,73,190,148,38,0.2035,0.1387,0.1159,0.0665,0.0137
sandshrew.png,27,125,101,52,45,32,14,172,162,142,175,142,49,99,66,16,0.1506,0.1125,0.0827,0.0719,0.029
sandslash.png,28,50,32,5,185,145,4,132,106,39,109,70,0,169,160,137,0.1973,0.1257,0.1038,0.091,0.06
nidoranf.png,29,148,172,246,135,149,211,83,87,123,161,161,161,24,24,24,0.1993,0.1021,0.0857,0.0503,0.0488
nidorina.png,30,109,160,238,64,98,127,22,34,46,205,222,246,22,22,22,0.2742,0.1368,0.062,0.0604,0.0287
nidoqueen.png,31,73,130,218,56,90,142,197,158,100,18,31,50,24,21,17,0.2324,0.1232,0.0833,0.0822,0.0566
nidoranm.png,32,57,11,52,216,66,170,160,54,136,130,21,118,12,12,12,0.1698,0.1314,0.1251,0.0939,0.0479
nidorino.png,33,157,60,162,46,18,49,79,39,126,34,18,53,11,11,11,0.2321,0.0774,0.0695,0.066,0.0444
nidoking.png,34,58,21,59,135,57,147,180,146,185,103,36,111,23,23,23,0.3366,0.1575,0.062,0.0541,0.0419
clefairy.png,35,250,114,146,34,22,11,127,88,70,133,69,83,170,160,154,0.3412,0.0858,0.0815,0.0542,0.0493
clefable.png,36,251,114,146,124,87,71,47,29,12,253,212,221,165,155,149,0.3669,0.0737,0.0629,0.0487,0.0401
vulpix.png,37,237,114,83,36,19,15,145,74,58,57,14,22,228,84,57,0.1867,0.0928,0.0919,0.0843,0.0786
ninetales.png,38,250,249,54,122,112,39,177,168,27,35,33,13,161,160,151,0.2256,0.1142,0.1031,0.0646,0.046
jigglypuff.png,39,249,115,172,133,70,98,17,17,17,42,20,29,160,160,160,0.3465,0.0701,0.0568,0.0471,0.0462
wigglytuff.png,40,246,114,171,132,73,101,253,214,230,100,100,100,40,20,28,0.2644,0.0639,0.0403,0.0359,0.0315
zubat.png,41,69,91,138,18,27,51,9,9,9,36,56,113,159,159,159,0.1608,0.1503,0.0538,0.0536,0.0288
golbat.png,42,78,99,138,19,27,48,7,7,7,38,57,109,149,160,181,0.188,0.0968,0.0615,0.0329,0.0266
oddish.png,43,6,6,6,21,36,18,89,181,29,71,118,44,46,85,37,0.182,0.1394,0.107,0.0879,0.0707
gloom.png,44,208,90,15,28,14,5,208,151,115,24,26,38,69,76,104,0.1923,0.138,0.0804,0.0581,0.0369
vileplume.png,45,253,52,28,25,9,7,160,64,53,210,136,127,20,22,31,0.2048,0.1661,0.0579,0.0515,0.039
paras.png,46,53,19,11,151,75,50,199,146,126,161,27,4,233,95,39,0.1182,0.1182,0.0941,0.0581,0.0343
parasect.png,47,80,30,8,251,74,34,157,68,43,205,143,128,124,43,14,0.2117,0.1112,0.0965,0.0466,0.0186
venonat.png,48,47,3,54,6,3,2,165,60,50,146,23,68,227,218,227,0.2175,0.2152,0.0692,0.0452,0.0399
venomoth.png,49,140,63,136,205,81,185,46,21,47,196,139,191,236,209,232,0.1295,0.087,0.07,0.0541,0.0445
