pokemon,dex_number,red0,blue0,green0,red1,blue1,green1,red2,blue2,green2,red3,blue3,green3,red4,blue4,green4,proportion0,proportion1,proportion2,proportion3,proportion4
bulbasaur.png,1,125,177,129,193,226,146,80,108,86,156,168,138,95,101,88,0.2271,0.1316,0.1159,0.0733,0.0566
ivysaur.png,2,122,175,128,77,103,82,193,226,146,155,167,139,95,99,89,0.197,0.1146,0.1093,0.0565,0.0431
venusaur.png,3,126,174,132,194,226,146,80,106,85,156,167,140,97,102,89,0.1467,0.1014,0.0943,0.0725,0.0626
charmander.png,4,210,152,101,253,196,91,140,82,62,210,84,56,57,51,50,0.1462,0.1282,0.0971,0.0689,0.0205
charmeleon.png,5,212,78,52,254,196,91,206,153,105,134,81,63,56,52,50,0.123,0.1175,0.1153,0.1143,0.0283
charizard.png,6,212,152,97,137,78,62,254,196,91,211,80,53,56,50,49,0.1737,0.1627,0.1522,0.1121,0.0516
squirtle.png,7,206,227,248,107,180,202,74,108,118,161,161,161,64,153,174,0.2121,0.1427,0.0777,0.017,0.017
wartortle.png,8,211,229,247,114,178,198,70,109,120,161,161,161,92,92,92,0.1997,0.1272,0.1001,0.0279,0.0232
blastoise.png,9,210,229,248,97,182,205,66,109,120,49,49,49,94,94,94,0.1719,0.1678,0.1178,0.0615,0.0333
caterpie.png,10,134,174,134,83,109,87,192,225,146,154,166,136,208,217,207,0.1288,0.0885,0.0736,0.0509,0.0311
metapod.png,11,194,228,147,133,176,132,85,111,89,158,177,130,100,107,89,0.1511,0.0942,0.0395,0.0221,0.0208
butterfree.png,12,205,228,242,114,177,194,50,50,50,67,105,114,159,159,159,0.1219,0.0957,0.0858,0.0695,0.0371
weedle.png,13,183,170,123,108,100,75,229,213,124,54,53,50,158,140,79,0.1067,0.0648,0.0467,0.0218,0.0206
kakuna.png,14,183,170,120,108,102,77,230,215,121,150,139,84,57,56,52,0.0802,0.0545,0.0521,0.0261,0.0127
beedrill.png,15,184,171,123,105,98,74,229,212,122,53,52,50,157,140,80,0.1155,0.0942,0.0608,0.0567,0.027
pidgey.png,16,116,98,79,177,163,143,55,53,51,150,127,100,214,192,159,0.2659,0.1451,0.051,0.009,0.0049
pidgeotto.png,17,121,101,79,185,166,139,54,52,51,151,127,98,215,193,157,0.2922,0.157,0.0587,0.0122,0.0056
pidgeot.png,18,122,102,80,183,164,137,54,53,51,146,128,103,214,192,159,0.2496,0.2068,0.0496,0.0076,0.0046
rattata.png,19,103,103,93,132,132,114,162,162,149,56,56,54,202,202,151,0.1929,0.1409,0.0884,0.0462,0.0161
raticate.png,20,101,101,91,161,161,139,205,205,149,132,132,113,53,53,52,0.1925,0.1557,0.1003,0.0662,0.0525
spearow.png,21,118,99,79,183,165,140,56,54,52,148,127,102,70,63,56,0.2178,0.1313,0.0345,0.0078,0.0017
fearow.png,22,125,102,79,177,161,137,57,54,52,150,127,99,215,193,156,0.3303,0.1261,0.0347,0.0054,0.0054
ekans.png,23,225,193,244,178,140,188,107,87,112,212,170,233,145,112,153,0.2208,0.1953,0.095,0.0617,0.0234
arbok.png,24,178,133,187,224,188,245,112,88,117,211,169,232,49,49,49,0.231,0.1514,0.1156,0.0493,0.0313
pikachu.png,25,179,168,134,105,100,83,229,207,120,53,53,52,154,139,84,0.109,0.0462,0.0296,0.0171,0.009
