pokemon,dex_number,normal,fighting,flying,poison,ground,rock,bug,ghost,steel,fire,water,grass,electric,psychic,ice,dragon,dark,fairy
vikavolt.png,738,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cutiefly.png,742,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
toxapex.png,748,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dewpider.png,751,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
oranguru.png,765,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miniormeteor.png,774,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kommoo.png,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kommoototem.png,784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tapukoko.png,785,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
nihilego.png,793,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kartana.png,798,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
poipole.png,803,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
